+------------+------------------+-----------------+
|releaseMonth|totalBoxOffice    |numMoviesReleased|
+------------+------------------+-----------------+
|1           |118,583,091,022.00|8342             |
|2           |131,685,504,604.96|4389             |
|3           |82,300,040,430.00 |5048             |
|4           |67,447,970,438.00 |4868             |
|5           |117,954,437,788.00|4628             |
|6           |145,039,556,206.00|4543             |
|7           |80,314,729,074.00 |4263             |
|8           |74,773,219,815.99 |5029             |
|9           |96,264,517,727.00 |6294             |
|10          |69,457,246,224.00 |6594             |
|11          |102,205,551,784.00|5550             |
|12          |110,476,825,778.00|5727             |
+------------+------------------+-----------------+
