+------+-----------------+-----------------+
|year  |totalBoxOffice   |numMoviesReleased|
+------+-----------------+-----------------+
|1881.0|0.00             |1                |
|1886.0|0.00             |1                |
|1887.0|0.00             |2                |
|1889.0|0.00             |1                |
|1890.0|0.00             |2                |
|1891.0|0.00             |1                |
|1892.0|0.00             |2                |
|1894.0|4,000,000.00     |3                |
|1895.0|0.00             |4                |
|1896.0|0.00             |44               |
|1897.0|33,000,000.00    |25               |
|1898.0|0.00             |26               |
|1899.0|0.00             |17               |
|1900.0|0.00             |20               |
|1901.0|0.00             |29               |
|1902.0|0.00             |25               |
|1903.0|0.00             |11               |
|1904.0|0.00             |17               |
|1905.0|0.00             |14               |
|1906.0|0.00             |6                |
|1907.0|0.00             |10               |
|1908.0|0.00             |16               |
|1909.0|0.00             |8                |
|1910.0|0.00             |13               |
|1911.0|0.00             |25               |
|1912.0|0.00             |19               |
|1913.0|100,000.00       |19               |
|1914.0|1,244,700.00     |17               |
|1915.0|100,271,463.00   |28               |
|1916.0|205,882,531.00   |36               |
|1917.0|446,236.00       |38               |
|1918.0|10,217,000.00    |39               |
|1919.0|36,841,951.00    |41               |
|1920.0|19,436,810.00    |60               |
|1921.0|7,997,605,455.00 |60               |
|1922.0|6,250,000.00     |56               |
|1923.0|17,178,424.00    |55               |
|1924.0|14,104,743.00    |55               |
|1925.0|923,751,215.00   |67               |
|1926.0|2,218,004,000.00 |75               |
|1927.0|1,418,246,979.00 |80               |
|1928.0|237,761,423.00   |86               |
|1929.0|1,190,005,024.00 |99               |
|1930.0|470,956,982.00   |77               |
|1931.0|52,893,000.00    |89               |
|1932.0|39,695,659.00    |86               |
|1933.0|193,346,801.00   |97               |
|1934.0|108,492,708.00   |110              |
|1935.0|3,258,111,370.00 |104              |
|1936.0|70,417,908.00    |119              |
|1937.0|495,097,045.00   |128              |
|1938.0|68,778,499.00    |84               |
|1939.0|489,961,933.00   |106              |
|1940.0|260,350,638.00   |107              |
|1941.0|140,906,193.00   |117              |
|1942.0|499,353,060.00   |156              |
|1943.0|435,165,147.00   |119              |
|1944.0|793,522,994.00   |89               |
|1945.0|582,793,039.00   |97               |
|1946.0|381,078,300.00   |115              |
|1947.0|6,537,774,912.00 |156              |
|1948.0|3,800,784,194.00 |134              |
|1949.0|5,072,245,243.00 |157              |
|1950.0|3,658,671,079.00 |159              |
|1951.0|3,620,983,280.00 |211              |
|1952.0|3,655,913,690.00 |190              |
|1953.0|790,491,463.00   |215              |
|1954.0|3,953,242,163.00 |188              |
|1955.0|776,398,000.00   |201              |
|1956.0|3,697,833,927.00 |191              |
|1957.0|1,673,809,885.00 |206              |
|1958.0|471,462,039.00   |174              |
|1959.0|623,761,153.00   |201              |
|1960.0|434,804,747.00   |190              |
|1961.0|3,923,531,325.00 |176              |
|1962.0|1,379,119,891.00 |198              |
|1963.0|750,442,930.00   |235              |
|1964.0|1,400,903,313.00 |222              |
|1965.0|10,734,781,283.00|243              |
|1966.0|1,036,403,945.00 |225              |
|1967.0|2,996,283,689.00 |233              |
|1968.0|1,968,041,165.00 |262              |
|1969.0|1,122,886,302.00 |253              |
|1970.0|3,531,887,740.00 |218              |
|1971.0|1,061,160,202.00 |262              |
|1972.0|1,080,775,249.00 |257              |
|1973.0|2,443,002,739.00 |307              |
|1974.0|3,711,560,152.00 |246              |
|1975.0|2,644,014,231.00 |292              |
|1976.0|1,811,580,731.00 |278              |
|1977.0|4,803,743,447.00 |263              |
|1978.0|3,800,626,005.00 |318              |
|1979.0|2,994,160,447.00 |326              |
|1980.0|15,255,953,688.00|386              |
|1981.0|5,092,068,160.00 |361              |
|1982.0|5,509,192,623.00 |406              |
|1983.0|7,159,287,772.00 |374              |
|1984.0|6,600,172,166.00 |447              |
|1985.0|6,120,751,216.00 |455              |
|1986.0|6,607,264,027.00 |522              |
|1987.0|5,859,578,085.00 |519              |
|1988.0|9,988,890,973.00 |512              |
|1989.0|16,142,022,781.00|522              |
|1990.0|9,730,576,339.00 |451              |
|1991.0|23,540,418,909.00|516              |
|1992.0|20,088,829,939.00|467              |
|1993.0|16,665,870,196.00|557              |
|1994.0|11,615,463,041.00|591              |
|1995.0|21,231,448,342.00|628              |
|1996.0|14,294,051,182.00|606              |
|1997.0|23,779,390,833.00|603              |
|1998.0|15,044,963,924.00|661              |
|1999.0|35,429,030,079.00|681              |
|2000.0|26,097,632,927.00|721              |
|2001.0|17,911,923,017.00|795              |
|2002.0|31,634,891,238.00|900              |
|2003.0|25,021,588,023.00|946              |
|2004.0|32,445,475,583.00|999              |
|2005.0|24,138,127,595.00|1068             |
|2006.0|24,377,351,305.00|1362             |
|2007.0|37,113,415,755.00|1455             |
|2008.0|26,146,107,735.00|1612             |
|2009.0|38,796,291,395.00|1549             |
|2010.0|36,266,411,464.00|1614             |
|2011.0|39,376,914,487.00|1711             |
|2012.0|34,878,767,234.00|1858             |
|2013.0|41,505,607,416.00|2144             |
|2014.0|57,686,670,087.98|2214             |
|2015.0|74,731,368,986.00|2467             |
|2016.0|40,696,357,096.00|2807             |
|2017.0|65,334,759,675.98|2958             |
|2018.0|40,071,471,735.00|2893             |
|2019.0|37,372,043,722.99|4755             |
|2020.0|34,364,727,982.00|5322             |
|2021.0|5,275,110,472.00 |1888             |
|2022.0|7,742,459,052.00 |358              |
|2023.0|6,676,642,842.00 |116              |
|2024.0|347,000,000.00   |39               |
|2025.0|0.00             |10               |
|2026.0|0.00             |4                |
|2027.0|0.00             |4                |
|2029.0|0.00             |1                |
+------+-----------------+-----------------+
