Director with the best selling movies: Herman Yau, with a total gross of 15,824,268,249.00

+--------------------------------------+-----------------+
|personName                            |total_gross      |
+--------------------------------------+-----------------+
|Herman Yau                            |15,824,268,249.00|
|Steven Spielberg                      |10,821,290,305.00|
|Joston Theney                         |9,999,999,999.99 |
|Carl Goldstein                        |9,584,000,000.00 |
|Martin Wilson                         |9,325,000,000.00 |
|Martin Ťapák                          |8,964,000,000.00 |
|David Lam                             |8,897,800,912.00 |
|Lionel Soukaz                         |8,368,000,000.00 |
|Gordon Chan                           |8,257,145,330.00 |
|Zaida Bergroth                        |7,967,600,000.00 |
|Elias Benavidez                       |7,929,000,000.00 |
|Vladimír Majer                        |7,805,160,000.00 |
|Chi Leung 'Jacob' Cheung              |7,597,254,000.00 |
|Taylor Wong                           |6,929,434,559.00 |
|Joe Russo                             |6,856,531,577.00 |
|Anthony Russo                         |6,856,531,577.00 |
|Peter Jackson                         |6,599,107,224.00 |
|Thomas Yip                            |6,469,570,000.00 |
|Stanley Wing Siu                      |6,440,421,999.00 |
|David Yates                           |6,404,950,746.00 |
|Dafna Wildman                         |6,373,420,000.00 |
|James Cameron                         |6,268,539,421.00 |
|Norman Law Man                        |6,080,335,000.00 |
|Michael Bay                           |5,583,222,375.00 |
|Emma Sullivan                         |5,526,000,000.00 |
|Federico Francioni                    |5,463,556,000.00 |
|Cheng Yan                             |5,463,556,000.00 |
|Rick Moore                            |5,217,504,557.00 |
|John Woods                            |5,186,448,000.00 |
|Robert Zemeckis                       |5,112,495,371.00 |
|Christopher Nolan                     |4,921,448,977.00 |
|J.J. Abrams                           |4,527,589,837.00 |
|Dimitris Moutsiakas                   |4,441,000,000.00 |
|Ron Howard                            |4,301,632,598.00 |
|Toshiaki Toyoda                       |4,254,000,000.00 |
|Jon Favreau                           |4,177,605,437.00 |
|Tim Burton                            |4,169,300,000.00 |
|Chris Columbus                        |4,104,002,366.00 |
|Ridley Scott                          |4,026,535,917.00 |
|Bernard Knowles                       |3,800,001,953.00 |
|Muriel Box                            |3,800,001,953.00 |
|James Yuen                            |3,797,136,196.00 |
|David Leitch                          |3,723,078,352.00 |
|Frédéric Ruiz                         |3,706,000,000.00 |
|James Wan                             |3,704,959,792.00 |
|Pierre Coffin                         |3,703,800,000.00 |
|Vojtěch Moravec                       |3,678,000,000.00 |
|Bryan Singer                          |3,585,072,546.00 |
|Pedro González-Rubio                  |3,584,000,000.00 |
|Gore Verbinski                        |3,539,700,000.00 |
|Kaisa El Ramly                        |3,504,000,000.00 |
|Bruce Neibaur                         |3,490,001,953.00 |
|Carlos Saldanha                       |3,473,511,490.00 |
|Clint Eastwood                        |3,449,013,904.00 |
|George Lucas                          |3,446,000,000.00 |
|Brad Bird                             |3,431,925,380.00 |
|Roland Emmerich                       |3,375,441,235.00 |
|Solomon Sir Jones                     |3,361,000,000.00 |
|Herbert Wilcox                        |3,359,870,000.00 |
|Francis Lawrence                      |3,358,657,103.00 |
|Hanung Bramantyo                      |3,323,000,000.00 |
|Sam Raimi                             |3,301,294,549.00 |
|Anthony Kimmins                       |3,298,853,000.00 |
|Zack Snyder                           |3,275,512,740.00 |
|Lukas Valenta Rinner                  |3,267,000,000.00 |
|Mario Zampi                           |3,255,863,000.00 |
|Henry Levin                           |3,220,860,615.00 |
|Todd Phillips                         |3,189,762,165.00 |
|Mario Bava                            |3,159,500,000.00 |
|Harold Huth                           |3,153,438,000.00 |
|Andrew Stanton                        |3,150,955,498.00 |
|Gregory Ratoff                        |3,132,428,000.00 |
|Lawrence Huntington                   |3,117,966,000.00 |
|John Baxter                           |3,109,116,000.00 |
|Clarence Elder                        |3,104,804,000.00 |
|Nathan Silver                         |3,092,000,000.00 |
|Patrick McGuinn                       |3,071,000,000.00 |
|Bill Condon                           |3,032,743,445.00 |
|Justin Lin                            |3,027,526,493.00 |
|Matthias Lebeer                       |3,027,000,000.00 |
|Joss Whedon                           |2,967,409,540.00 |
|Carlo Lizzani                         |2,879,000,000.00 |
|M. Night Shyamalan                    |2,868,618,619.00 |
|Paolo Sideri                          |2,819,000,000.00 |
|Chris Renaud                          |2,738,100,000.00 |
|Tom McGrath                           |2,733,421,274.00 |
|Sam Mendes                            |2,715,000,000.00 |
|Jennifer Lee                          |2,682,931,383.00 |
|Colin Trevorrow                       |2,682,515,524.00 |
|Aaron Horvath                         |2,654,588,530.00 |
|Merata Mita                           |2,633,000,000.00 |
|Homer Etmiani                         |2,626,000,000.00 |
|Andrew Adamson                        |2,602,901,714.00 |
|Michael Jelenic                       |2,602,588,530.00 |
|Guy Ritchie                           |2,587,102,915.00 |
|Steven Soderbergh                     |2,512,626,604.00 |
|Pablo Trapero                         |2,505,843,117.00 |
|Thanasis Antoniou                     |2,494,000,000.00 |
|Christine Wilson                      |2,468,491,244.00 |
|Kichitaro Negishi                     |2,457,000,000.00 |
|Charlie Griak                         |2,442,000,000.00 |
|Robert Anderson                       |2,438,875,381.00 |
|Eric Darnell                          |2,428,836,895.00 |
|Barry Sonnenfeld                      |2,423,293,885.00 |
|Miguel Contreras Torres               |2,402,000,000.00 |
|Ryan Coogler                          |2,380,761,039.00 |
|Safia Benhaim                         |2,371,000,000.00 |
|Stéphanie Murat                       |2,371,000,000.00 |
|Chu Yen-ping                          |2,370,983,900.00 |
|Conrad Vernon                         |2,358,899,511.00 |
|Shawn Levy                            |2,347,300,000.00 |
|Jon Turteltaub                        |2,347,161,979.00 |
|Ka-Yan Leung                          |2,325,275,000.00 |
|Irish Braschi                         |2,322,000,000.00 |
|Quentin Tarantino                     |2,301,600,980.00 |
|Richard Van                           |2,273,000,000.00 |
|César Alejandro                       |2,263,000,000.00 |
|Frank Pinnock                         |2,249,000,000.00 |
|Christopher McQuarrie                 |2,246,041,479.00 |
|Martin Scorsese                       |2,238,173,351.00 |
|Lana Wachowski                        |2,204,762,758.00 |
